Paper,Author,a,do,is,or,this,all,down,it,our,to,also,even,its,shall,up,an,every,may,should,upon,and,for,more,so,was,any,from,must,some,were,are,had,my,such,what,as,has,no,than,when,at,have,not,that,which,be,her,now,the,who,been,his,of,their,will,but,if,on,then,with,by,in,one,there,would,can,into,only,things,your
1,AH,0.0157035175879397,0.000628140703517588,0.00753768844221105,0.00376884422110553,0.00879396984924623,0.00565326633165829,0,0.0125628140703518,0.00188442211055276,0.0445979899497487,0,0.00125628140703518,0.00628140703517588,0.00439698492462312,0,0.00690954773869347,0.00188442211055276,0.00690954773869347,0.000628140703517588,0.00376884422110553,0.0251256281407035,0.00753768844221105,0.00439698492462312,0.00188442211055276,0,0.00376884422110553,0.00690954773869347,0.00188442211055276,0,0.000628140703517588,0.00753768844221105,0.000628140703517588,0.0050251256281407,0.000628140703517588,0,0.00628140703517588,0.00376884422110553,0.00188442211055276,0.00690954773869347,0.000628140703517588,0.0050251256281407,0.00628140703517588,0.00879396984924623,0.0175879396984925,0.0113065326633166,0.021356783919598,0,0,0.0804020100502513,0.0050251256281407,0.00188442211055276,0,0.0659547738693467,0.00816582914572864,0.0157035175879397,0.00125628140703518,0.00251256281407035,0.00565326633165829,0,0.00376884422110553,0.00879396984924623,0.0163316582914573,0.00251256281407035,0.00125628140703518,0.00125628140703518,0.00188442211055276,0.00125628140703518,0,0,0.00628140703517588
2,JJ,0.0173652694610778,0,0.00958083832335329,0.00598802395209581,0.00838323353293413,0.00239520958083832,0,0.0227544910179641,0.00239520958083832,0.0317365269461078,0.00119760479041916,0,0.0029940119760479,0.000598802395209581,0,0.000598802395209581,0.00119760479041916,0.00239520958083832,0.00239520958083832,0.000598802395209581,0.0497005988023952,0.00778443113772455,0.0029940119760479,0.0029940119760479,0.00479041916167665,0.000598802395209581,0.00239520958083832,0.00239520958083832,0.00239520958083832,0.00419161676646707,0.00359281437125748,0.00239520958083832,0.00119760479041916,0.00119760479041916,0.00119760479041916,0.00958083832335329,0.00359281437125748,0.000598802395209581,0.0029940119760479,0.00239520958083832,0.00598802395209581,0.0101796407185629,0.00598802395209581,0.0263473053892216,0.00658682634730539,0.00898203592814371,0,0.00179640718562874,0.0640718562874251,0.00479041916167665,0.00479041916167665,0,0.0497005988023952,0.0125748502994012,0.00119760479041916,0.00479041916167665,0.00179640718562874,0.00479041916167665,0.000598802395209581,0.00778443113772455,0.00598802395209581,0.0203592814371257,0.00598802395209581,0,0.0029940119760479,0,0.00359281437125748,0.0029940119760479,0,0
3,JJ,0.00899031811894882,0.000691562932226833,0.00484094052558783,0.0221300138312586,0.004149377593361,0.00276625172890733,0,0.0145228215767635,0,0.0387275242047026,0.0020746887966805,0.000691562932226833,0.000691562932226833,0,0,0.0020746887966805,0,0.004149377593361,0.00276625172890733,0,0.04149377593361,0.00760719225449516,0.00899031811894882,0.00276625172890733,0,0.00345781466113416,0.0103734439834025,0,0.00138312586445367,0.000691562932226833,0.00553250345781466,0,0,0.00345781466113416,0,0.016597510373444,0.00345781466113416,0.00138312586445367,0.00553250345781466,0.000691562932226833,0.000691562932226833,0.00484094052558783,0.00899031811894882,0.0138312586445367,0.00760719225449516,0.0214384508990318,0,0,0.0643153526970954,0.0020746887966805,0.00138312586445367,0.00138312586445367,0.0428769017980636,0.00760719225449516,0.016597510373444,0.00484094052558783,0.00484094052558783,0.004149377593361,0.000691562932226833,0.00691562932226833,0.012448132780083,0.0172890733056708,0.00553250345781466,0.000691562932226833,0.00138312586445367,0.0020746887966805,0,0.00276625172890733,0,0
4,JJ,0.0097799511002445,0.00122249388753056,0.00611246943765281,0.0146699266503667,0.000611246943765281,0.00244498777506112,0,0.0171149144254279,0.0110024449877751,0.0311735941320293,0.00122249388753056,0,0.00550122249388753,0.00366748166259169,0,0.00183374083129584,0,0.00611246943765281,0.000611246943765281,0,0.0550122249388753,0.00733496332518337,0.00794621026894866,0.00305623471882641,0.000611246943765281,0.00305623471882641,0.00488997555012225,0,0.00122249388753056,0.000611246943765281,0.00672371638141809,0.00183374083129584,0.000611246943765281,0.00550122249388753,0.00305623471882641,0.0122249388753056,0.000611246943765281,0.000611246943765281,0.00550122249388753,0.00244498777506112,0.00122249388753056,0.00550122249388753,0.00855745721271394,0.0103911980440098,0.00611246943765281,0.0158924205378973,0,0,0.0525672371638142,0.00183374083129584,0.00122249388753056,0.00122249388753056,0.0440097799511002,0.0116136919315403,0.00916870415647922,0.00611246943765281,0.00794621026894866,0.00672371638141809,0,0.00733496332518337,0.00855745721271394,0.0146699266503667,0.00794621026894866,0.00183374083129584,0.0103911980440098,0.00488997555012225,0.00611246943765281,0.00244498777506112,0,0
5,JJ,0.00669144981412639,0,0.00520446096654275,0.00743494423791822,0.00446096654275093,0.00297397769516729,0,0.0156133828996283,0.00520446096654275,0.033457249070632,0.00148698884758364,0.00148698884758364,0.00297397769516729,0.000743494423791822,0,0.00297397769516729,0,0.00148698884758364,0.00297397769516729,0,0.0535315985130112,0.00520446096654275,0.00817843866171004,0.00223048327137546,0.00223048327137546,0.00223048327137546,0.00817843866171004,0.00223048327137546,0.00148698884758364,0.00446096654275093,0.00223048327137546,0,0,0.00223048327137546,0.00148698884758364,0.00223048327137546,0,0.00148698884758364,0.00669144981412639,0.000743494423791822,0.00297397769516729,0.000743494423791822,0.00594795539033457,0.0171003717472119,0.00743494423791822,0.0230483271375465,0.00520446096654275,0,0.0490706319702602,0.00223048327137546,0,0,0.0394052044609665,0.00817843866171004,0.00446096654275093,0.00297397769516729,0.00223048327137546,0.00371747211895911,0.00148698884758364,0.00817843866171004,0.00743494423791822,0.020817843866171,0.00743494423791822,0,0.0275092936802974,0.000743494423791822,0.00520446096654275,0.00297397769516729,0,0.00223048327137546
6,AH,0.0241397021058038,0,0.00410888546481767,0.00975860297894196,0.00564971751412429,0.00256805341551104,0,0.00564971751412429,0.00205444273240883,0.0292758089368259,0,0,0,0.000513610683102209,0,0.00564971751412429,0.000513610683102209,0.00154083204930663,0.00102722136620442,0.00205444273240883,0.036979969183359,0.0061633281972265,0.00410888546481767,0.00205444273240883,0.00462249614791988,0,0.00719054956343092,0.000513610683102209,0.00154083204930663,0.00256805341551104,0.00924499229583975,0.00205444273240883,0,0.00154083204930663,0.00102722136620442,0.00975860297894196,0.00513610683102209,0,0.00308166409861325,0,0.00308166409861325,0.0133538777606574,0.00821777092963534,0.0112994350282486,0.0107858243451464,0.00924499229583975,0.00102722136620442,0.000513610683102209,0.0801232665639445,0.00359527478171546,0.0061633281972265,0.00154083204930663,0.073959938366718,0.00667693888032871,0.00308166409861325,0.00154083204930663,0.00256805341551104,0.00102722136620442,0,0.00513610683102209,0.00513610683102209,0.0282485875706215,0.00154083204930663,0.00410888546481767,0.00308166409861325,0.00102722136620442,0.00359527478171546,0.000513610683102209,0,0
7,AH,0.0208056662239929,0,0.00575475874280655,0.00442673749446658,0.00973882248782647,0.00531208499335989,0,0.00708277999114653,0.00221336874723329,0.0358565737051793,0,0.00177069499778663,0.000885347498893316,0.000442673749446658,0.000442673749446658,0.00664010624169987,0.000442673749446658,0.000885347498893316,0.0030987162461266,0.00486941124391324,0.0216910137228862,0.00619743249225321,0.00265604249667995,0.00177069499778663,0.0030987162461266,0.0030987162461266,0.00486941124391324,0.00132802124833997,0.0030987162461266,0.00398406374501992,0.0030987162461266,0.0030987162461266,0,0.00132802124833997,0.00132802124833997,0.00752545374059318,0.00177069499778663,0.00132802124833997,0.00221336874723329,0.000442673749446658,0.00486941124391324,0.0101814962372731,0.00619743249225321,0.0115095174856131,0.0106241699867198,0.0203629924745463,0.00177069499778663,0,0.0898627711376715,0.000885347498893316,0.00354138999557326,0,0.0694997786631253,0.00796812749003984,0.000442673749446658,0.00132802124833997,0.00531208499335989,0.00531208499335989,0,0.00531208499335989,0.0123948649845064,0.0177069499778663,0.00177069499778663,0.00398406374501992,0.0225763612217795,0.00132802124833997,0.000885347498893316,0.000442673749446658,0.000442673749446658,0
8,AH,0.0225563909774436,0,0.0100250626566416,0.00852130325814536,0.00802005012531328,0.00401002506265664,0,0.00952380952380952,0.0025062656641604,0.0395989974937343,0.00050125313283208,0.00100250626566416,0.00451127819548872,0,0.00150375939849624,0.00651629072681704,0.00150375939849624,0.00401002506265664,0.0025062656641604,0.00150375939849624,0.0260651629072682,0.00451127819548872,0.00401002506265664,0.0025062656641604,0.00050125313283208,0.00050125313283208,0.00451127819548872,0.00150375939849624,0.00100250626566416,0,0.00701754385964912,0.00150375939849624,0,0.0025062656641604,0,0.00802005012531328,0.00300751879699248,0.00150375939849624,0.00100250626566416,0,0.0050125313283208,0.00852130325814536,0.00601503759398496,0.00802005012531328,0.0120300751879699,0.0160401002506266,0.00100250626566416,0.00050125313283208,0.0786967418546366,0,0.00651629072681704,0,0.0671679197994988,0.00802005012531328,0.00451127819548872,0.0050125313283208,0.00350877192982456,0.00451127819548872,0,0.00651629072681704,0.00551378446115288,0.0195488721804511,0.0025062656641604,0.00100250626566416,0.0135338345864662,0.00050125313283208,0.0025062656641604,0.00050125313283208,0.00050125313283208,0
9,AH,0.0237014624306606,0,0.00806858295511851,0.00554715078164397,0.0075642965204236,0.00403429147755925,0,0.0121028744326778,0,0.0358043368633384,0.000504286434694907,0.000504286434694907,0.00252143217347453,0.00201714573877963,0,0.00655572365103379,0.00100857286938981,0.00252143217347453,0.00252143217347453,0.00201714573877963,0.0226928895612708,0.00504286434694907,0.00302571860816944,0.00252143217347453,0.00100857286938981,0.00201714573877963,0.00353000504286435,0.000504286434694907,0.00100857286938981,0.00554715078164397,0.00706001008572869,0.00252143217347453,0,0.00252143217347453,0,0.00958144225920323,0.00605143721633888,0.00100857286938981,0.000504286434694907,0.000504286434694907,0.00504286434694907,0.0121028744326778,0.00655572365103379,0.0126071608673727,0.0126071608673727,0.0131114473020676,0,0.00100857286938981,0.0857286938981341,0.00151285930408472,0.0075642965204236,0.00201714573877963,0.0776601109430156,0.00706001008572869,0.00353000504286435,0.00302571860816944,0.00353000504286435,0.00453857791225416,0.000504286434694907,0.00706001008572869,0.00655572365103379,0.0186585980837115,0.00605143721633888,0.00151285930408472,0.00403429147755925,0.000504286434694907,0.00252143217347453,0.00151285930408472,0,0
10,JM,0.025974025974026,0,0.0136530136530137,0.00732600732600733,0.00366300366300366,0.00133200133200133,0,0.0156510156510157,0.00266400266400266,0.0333000333000333,0,0,0.002997002997003,0.000666000666000666,0.000333000333000333,0.00466200466200466,0.000999000999000999,0.00532800532800533,0,0,0.0402930402930403,0.00599400599400599,0.003996003996004,0.00133200133200133,0.000666000666000666,0.00133200133200133,0.003996003996004,0.00333000333000333,0.000999000999000999,0,0.00899100899100899,0.000333000333000333,0,0.00266400266400266,0.00166500166500167,0.00666000666000666,0.00133200133200133,0.00166500166500167,0.00432900432900433,0.000666000666000666,0.00266400266400266,0.00532800532800533,0.00466200466200466,0.0103230103230103,0.012987012987013,0.0203130203130203,0,0,0.0869130869130869,0.002997002997003,0.002997002997003,0.00266400266400266,0.0522810522810523,0.00699300699300699,0.00999000999000999,0.00366300366300366,0.001998001998002,0.00599400599400599,0.000666000666000666,0.00366300366300366,0.012987012987013,0.020979020979021,0.00266400266400266,0.001998001998002,0.001998001998002,0.00133200133200133,0.002997002997003,0.000666000666000666,0,0
